archive date, version,  description, download link
01-07-2015, N/A, Old, `2015-07-01_wave-organisation-tokens_v0.1.0.pdf <https://makeitwave.com/data/docs/services/tokens/build/html/_static/archive/2015-07-01_wave-organisation-tokens_v0.1.0.pdf>`__
09-01-2019, 0.1.0, First Draft, `2015-09-01_wave-organisation-tokens_v0.1.0.pdf <https://makeitwave.com/data/docs/services/tokens/build/html/_static/archive/2019-01-09_wave-organisation-tokens_v0.1.0.pdf>`__
17-01-2019, 0.1.1, see notes, `2019-01-17_wave-organisation-tokens_v0.1.1.pdf <https://makeitwave.com/data/docs/services/tokens/build/html/_static/archive/2019-01-17_wave-organisation-tokens_v0.1.1.pdf>`__
