archive date, version,  description, download link
2019-08-15, 0.0.3, see notes,  `version-0.0.3.pdf <https://makeitwave.com/data/docs/organisation/balance-transfer-scheme/build/html/_static/archived/version-0.0.3.pdf>`__
2019-08-14, 0.0.2, see notes,  `version-0.0.2.pdf <https://makeitwave.com/data/docs/organisation/balance-transfer-scheme/build/html/_static/archived/version-0.0.2.pdf>`__
2019-08-13, 0.0.1, see notes,  `version-0.0.1.pdf <https://makeitwave.com/data/docs/organisation/balance-transfer-scheme/build/html/_static/archived/version-0.0.1.pdf>`__
