archive date, version,  description, download link
2019-01-09, 0.1.0, First Draft, `2019-01-09_wave-organisation-tokens_v0.1.0.pdf <https://makeitwave.com/data/docs/tokens/wrt/build/html/_static/archive/2019-01-09_wave-organisation-tokens_v0.1.0.pdf>`__
2019-01-17, 0.1.1, see notes, `2019-01-17_wave-organisation-tokens_v0.1.1.pdf <https://makeitwave.com/data/docs/tokens/wrt/build/html/_static/archive/2019-01-17_wave-organisation-tokens_v0.1.1.pdf>`__
2019-02-11, 0.1.2, see notes, `2019-02-11_wave-tokens-wrt_v0.1.2.pdf <https://makeitwave.com/data/docs/tokens/wrt/build/html/_static/archive/2019-02-11_wave-tokens-wrt_v0.1.2>`__

